0.188	0.160	0.145	0.177	0.100	0.185	0.269	0.264	0.323	0.457	0.491	0.317	0.155	0.469	0.655	0.735	0.772	0.773	0.728	0.643	0.564	0.525	0.477	0.411	0.343	0.253	0.260	0.375	0.485	0.601	0.668	0.687	0.702	0.701	0.630	0.502	0.372	0.240	0.115	0.073	0.125	0.160	0.286	0.418	0.392	0.283	0.118	0.108	0.328	0.467	0.493	0.400	0.283	0.285	0.313	0.393	0.535	0.641	0.739	0.785
0.244	0.227	0.217	0.212	0.108	0.158	0.227	0.208	0.274	0.430	0.482	0.318	0.109	0.430	0.621	0.706	0.748	0.754	0.713	0.631	0.553	0.522	0.485	0.426	0.351	0.256	0.312	0.466	0.581	0.674	0.715	0.713	0.716	0.711	0.641	0.518	0.389	0.248	0.112	0.009	0.066	0.115	0.258	0.388	0.353	0.235	0.070	0.161	0.376	0.506	0.526	0.431	0.301	0.283	0.320	0.409	0.549	0.656	0.753	0.798
0.333	0.323	0.300	0.235	0.089	0.144	0.207	0.137	0.099	0.291	0.373	0.243	0.109	0.404	0.584	0.673	0.724	0.740	0.709	0.632	0.567	0.563	0.550	0.492	0.380	0.284	0.430	0.614	0.715	0.766	0.767	0.733	0.714	0.698	0.627	0.514	0.387	0.262	0.220	0.213	0.180	0.149	0.245	0.351	0.312	0.226	0.183	0.285	0.454	0.554	0.561	0.464	0.317	0.269	0.321	0.415	0.544	0.658	0.760	0.807
0.272	0.269	0.253	0.182	0.111	0.201	0.262	0.231	0.088	0.122	0.200	0.154	0.280	0.485	0.616	0.689	0.739	0.759	0.734	0.670	0.621	0.628	0.613	0.525	0.357	0.315	0.538	0.713	0.791	0.812	0.786	0.730	0.684	0.643	0.563	0.453	0.318	0.232	0.295	0.330	0.302	0.260	0.308	0.372	0.329	0.252	0.217	0.300	0.445	0.517	0.506	0.408	0.261	0.225	0.267	0.333	0.457	0.603	0.730	0.785
0.082	0.081	0.102	0.124	0.202	0.279	0.290	0.267	0.190	0.116	0.093	0.174	0.372	0.525	0.613	0.666	0.711	0.732	0.721	0.687	0.659	0.658	0.618	0.486	0.270	0.327	0.589	0.753	0.816	0.821	0.776	0.701	0.630	0.550	0.445	0.328	0.186	0.197	0.310	0.360	0.362	0.359	0.410	0.447	0.397	0.292	0.153	0.149	0.312	0.380	0.370	0.285	0.185	0.224	0.238	0.231	0.300	0.463	0.629	0.702
0.162	0.136	0.090	0.115	0.278	0.375	0.370	0.317	0.244	0.158	0.091	0.148	0.282	0.377	0.445	0.504	0.562	0.598	0.620	0.636	0.640	0.635	0.554	0.362	0.089	0.341	0.611	0.760	0.812	0.800	0.730	0.629	0.529	0.398	0.275	0.215	0.190	0.314	0.391	0.417	0.423	0.435	0.477	0.502	0.475	0.421	0.291	0.073	0.141	0.236	0.250	0.194	0.170	0.226	0.231	0.230	0.244	0.342	0.502	0.585
0.367	0.332	0.266	0.202	0.295	0.372	0.378	0.337	0.263	0.178	0.146	0.117	0.040	0.054	0.159	0.264	0.347	0.412	0.477	0.512	0.516	0.515	0.428	0.254	0.141	0.384	0.619	0.758	0.803	0.778	0.687	0.559	0.423	0.246	0.202	0.284	0.343	0.446	0.462	0.443	0.426	0.439	0.487	0.515	0.504	0.504	0.423	0.218	0.020	0.137	0.146	0.102	0.117	0.145	0.195	0.263	0.308	0.375	0.504	0.576
0.646	0.615	0.545	0.434	0.385	0.382	0.381	0.376	0.377	0.410	0.464	0.467	0.419	0.383	0.391	0.425	0.452	0.476	0.485	0.429	0.326	0.304	0.309	0.318	0.363	0.471	0.625	0.750	0.794	0.766	0.678	0.559	0.417	0.220	0.199	0.325	0.398	0.465	0.432	0.387	0.369	0.394	0.443	0.458	0.446	0.475	0.425	0.245	0.076	0.110	0.090	0.075	0.107	0.216	0.358	0.454	0.514	0.568	0.655	0.703
0.828	0.807	0.749	0.655	0.591	0.560	0.538	0.533	0.555	0.616	0.683	0.697	0.658	0.616	0.618	0.642	0.651	0.646	0.600	0.469	0.229	0.096	0.295	0.439	0.534	0.588	0.660	0.754	0.800	0.785	0.724	0.637	0.502	0.278	0.090	0.230	0.319	0.362	0.294	0.231	0.205	0.236	0.277	0.272	0.264	0.324	0.315	0.216	0.123	0.097	0.066	0.128	0.230	0.381	0.520	0.615	0.677	0.716	0.765	0.792
0.897	0.881	0.834	0.766	0.726	0.714	0.694	0.676	0.677	0.714	0.770	0.787	0.751	0.701	0.700	0.719	0.721	0.704	0.643	0.508	0.278	0.148	0.340	0.507	0.615	0.657	0.688	0.757	0.807	0.808	0.772	0.707	0.588	0.402	0.201	0.047	0.081	0.108	0.055	0.071	0.081	0.095	0.090	0.091	0.134	0.171	0.181	0.166	0.145	0.106	0.045	0.091	0.231	0.390	0.519	0.627	0.701	0.736	0.764	0.781
